,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
468,0.10585949420928956,0.004285748684375979,0.011521196365356446,0.0009041778863498116,0.7,0.3,4,0.1,"{'colsample_bylevel': 0.7, 'colsample_bytree': 0.3, 'max_depth': 4, 'subsample': 0.1}",0.8095238095238095,0.8571428571428571,0.8095238095238095,0.8548387096774194,0.8064516129032258,0.7903225806451613,0.7580645161290323,0.8064516129032258,0.6774193548387096,0.8225806451612904,0.799231950844854,0.04890754653139298,836
469,0.11391725540161132,0.003844121117703484,0.011421465873718261,0.0011866998008010744,0.7,0.3,4,0.3,"{'colsample_bylevel': 0.7, 'colsample_bytree': 0.3, 'max_depth': 4, 'subsample': 0.3}",0.873015873015873,0.9047619047619048,0.8253968253968254,0.8548387096774194,0.8225806451612904,0.8225806451612904,0.8064516129032258,0.8225806451612904,0.7096774193548387,0.8225806451612904,0.8264464925755248,0.04817034518509895,393
470,0.11796622276306153,0.003429160127356021,0.01059868335723877,0.001328269898706573,0.7,0.3,4,0.5,"{'colsample_bylevel': 0.7, 'colsample_bytree': 0.3, 'max_depth': 4, 'subsample': 0.5}",0.8571428571428571,0.8571428571428571,0.873015873015873,0.8709677419354839,0.8064516129032258,0.8064516129032258,0.8225806451612904,0.8387096774193549,0.7096774193548387,0.8387096774193549,0.8280849974398361,0.0455618903480336,303
471,0.11824934482574463,0.004236722828361693,0.01183619499206543,0.0007824905553577926,0.7,0.3,4,0.7,"{'colsample_bylevel': 0.7, 'colsample_bytree': 0.3, 'max_depth': 4, 'subsample': 0.7}",0.873015873015873,0.8888888888888888,0.8571428571428571,0.8548387096774194,0.7903225806451613,0.7580645161290323,0.8225806451612904,0.8387096774193549,0.7096774193548387,0.7741935483870968,0.8167434715821813,0.05420923123361414,679
472,0.11616282463073731,0.0029081627575648582,0.011424541473388672,0.0008838605960356368,0.7,0.3,4,0.9,"{'colsample_bylevel': 0.7, 'colsample_bytree': 0.3, 'max_depth': 4, 'subsample': 0.9}",0.8888888888888888,0.873015873015873,0.873015873015873,0.8548387096774194,0.8064516129032258,0.8225806451612904,0.7903225806451613,0.8387096774193549,0.7258064516129032,0.7903225806451613,0.826395289298515,0.047271531161866984,424
473,0.10869386196136474,0.004345959308658086,0.01121382713317871,0.0010933893807201693,0.7,0.3,4,1,"{'colsample_bylevel': 0.7, 'colsample_bytree': 0.3, 'max_depth': 4, 'subsample': 1}",0.9047619047619048,0.8888888888888888,0.8571428571428571,0.8548387096774194,0.7903225806451613,0.8064516129032258,0.8225806451612904,0.8387096774193549,0.7258064516129032,0.8225806451612904,0.8312083973374296,0.04854627626241763,214
474,0.10791106224060058,0.002322965054800339,0.011253046989440917,0.001721474474817392,0.7,0.3,5,0.1,"{'colsample_bylevel': 0.7, 'colsample_bytree': 0.3, 'max_depth': 5, 'subsample': 0.1}",0.8095238095238095,0.8571428571428571,0.8095238095238095,0.8548387096774194,0.8064516129032258,0.7903225806451613,0.7580645161290323,0.8064516129032258,0.6774193548387096,0.8225806451612904,0.799231950844854,0.04890754653139298,836
475,0.11797244548797607,0.00463993644854986,0.011722803115844727,0.0006453297397762877,0.7,0.3,5,0.3,"{'colsample_bylevel': 0.7, 'colsample_bytree': 0.3, 'max_depth': 5, 'subsample': 0.3}",0.873015873015873,0.8888888888888888,0.8095238095238095,0.8387096774193549,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.6774193548387096,0.8225806451612904,0.8135944700460829,0.05354996875429503,714
476,0.12189505100250245,0.0069331075929431165,0.011371374130249023,0.0009158330955669603,0.7,0.3,5,0.5,"{'colsample_bylevel': 0.7, 'colsample_bytree': 0.3, 'max_depth': 5, 'subsample': 0.5}",0.873015873015873,0.8571428571428571,0.8571428571428571,0.8870967741935484,0.8064516129032258,0.7903225806451613,0.8387096774193549,0.8225806451612904,0.7258064516129032,0.8387096774193549,0.8296979006656425,0.044468918535352675,239
477,0.1247267484664917,0.00457782109014685,0.011306500434875489,0.001158781194178284,0.7,0.3,5,0.7,"{'colsample_bylevel': 0.7, 'colsample_bytree': 0.3, 'max_depth': 5, 'subsample': 0.7}",0.873015873015873,0.8571428571428571,0.8888888888888888,0.8387096774193549,0.8064516129032258,0.7741935483870968,0.8387096774193549,0.8225806451612904,0.7096774193548387,0.8064516129032258,0.8215821812596007,0.04924845667477893,581
